2	40	175.211.43.135	Mac OS	Gecko	22시 06분 01초	http://t.co/lxZPLxlP3t
2	39	121.136.173.93	Android	Gecko	21시 56분 45초	http://m.search.daum.net/search?w=tot&q=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0%20%EC%97%B0%EC%8A%B5%EB%B3%B5&nil_profile=jockeytop&DA=SJTO
2	38	175.212.160.218	Windows 7	Gecko	21시 48분 04초	http://search.daum.net/search?w=tot&DA=YZR&t__nil_searchbox=btn&sug=&o=&q=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0+%EC%97%B0%EC%8A%B5%EB%B3%B5
2	37	110.13.64.49	Windows 7	Internet Explorer 7.0	21시 47분 05초	http://www.google.co.kr/url?sa=i&rct=j&q=&esrc=s&frm=1&source=images&cd=&docid=IC21Jj9p9mFdAM&tbnid=Ewm3stXEgP7wgM:&ved=0CAEQjxw&url=http%3A%2F%2Fwww.loosfly.com%2Fshop%2Fboard%2Flist.php%3Fid%3Dstories&ei=RV3OU7qcLs7joAT-rYKIAw&bvm=bv.71447997,d.cGU&psig
2	36	175.118.37.152	Windows NT	Internet Explorer 7.0	21시 39분 30초	http://search.daum.net/bing?nil_suggest=btn&w=tot&DA=SBCO&q=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
2	35	211.192.191.20	Mac OS	Chrome/35.0.1916.153	21시 17분 50초	https://www.google.co.kr/
2	34	223.62.213.119	Mac OS	Gecko	20시 54분 52초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&qdt=0&acq=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC&acr=1
2	33	157.55.39.72	Search Robot	www.bing.com	20시 53분 53초	Direct Contact (Typing or Bookmark)
2	32	175.223.17.102	Android	Gecko	20시 45분 51초	Direct Contact (Typing or Bookmark)
2	31	199.30.26.227	Search Robot	search.msn.com	20시 36분 13초	Direct Contact (Typing or Bookmark)
2	30	121.162.207.129	Mac OS	Gecko	20시 28분 58초	http://m.search.naver.com/search.naver?where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&sm=mtb_she&qdt=0
2	29	175.193.32.84	Mac OS	Gecko	19시 53분 10초	http://m.search.naver.com/search.naver?where=m&sm=mob_hty.sch&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9+%EB%B3%B5&acq=&acr=&qdt=1
2	28	175.203.72.44	Windows XP	Internet Explorer 8.0	19시 11분 41초	Direct Contact (Typing or Bookmark)
2	27	112.167.171.51	Mac OS	Gecko	19시 11분 41초	http://m.bookmark.naver.com/mobile/index.nhn
2	26	175.203.71.76	Windows XP	Internet Explorer 8.0	19시 10분 30초	Direct Contact (Typing or Bookmark)
2	25	121.156.125.105	Windows XP	Internet Explorer 8.0	18시 58분 36초	Direct Contact (Typing or Bookmark)
2	24	211.213.136.43	Windows Vista	Internet Explorer 7.0	18시 30분 37초	http://search.naver.com/search.naver?where=nexearch&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=top_hty&fbm=0&ie=utf8
2	23	223.62.203.78	Mac OS	Gecko	18시 06분 47초	http://m.search.naver.com/search.naver?where=m&sm=mob_sug.sch&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=%EB%A3%A8%EC%8A%BE&acr=2&qdt=0
2	22	116.125.177.156	Android	Chrome/30.0.0.0	18시 04분 01초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
2	21	211.207.86.13	Mac OS	Gecko	17시 54분 52초	http://m.search.naver.com/search.naver?where=m&sm=mob_sug.psn&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=%EB%A3%A8%EC%8A%A4&acr=1&qdt=0
2	20	121.179.216.131	Windows 7	Gecko	17시 15분 01초	Direct Contact (Typing or Bookmark)
2	19	223.62.162.122	Android	Chrome/30.0.0.0	17시 09분 21초	http://m.search.naver.com/search.naver?where=m&sm=mob_sly.hst&query=%EB%B0%9C%EB%A0%88+%EC%97%B0%EC%8A%B5%EB%B3%B5&acq=&acr=3&qdt=0
