2	11	27.1.76.185	Android	Gecko	09시 26분 50초	http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2Fshop%2Fgoods%2Fgoods_view.php%3Fgoodsno%3D10%26category%3D003&h=KAQHCif8D&enc=AZOj1pMFWm5hp77qixNU2A_qNbXtcqogdRYTWxSSsrQR0bGN6_zxdp1woZgmXU0d_IbqNsy_uu4QOqmqIYkJheAETMQ_YFiG8eWS-YXYo7X288fyRuwN
2	10	182.219.130.57	Windows 7	Chrome/31.0.1650.63	09시 26분 40초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&x=-595&y=-51
2	9	123.109.167.50	Mac OS	Gecko	08시 35분 24초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
2	8	211.36.141.42	Android	Gecko	08시 14분 00초	Direct Contact (Typing or Bookmark)
2	7	66.249.77.155	Search Robot	www.google.com	07시 41분 51초	Direct Contact (Typing or Bookmark)
2	6	178.137.5.18	unknown	Internet Explorer 5.0	06시 40분 55초	http://kam-russia.ru/
2	5	65.55.52.87	Search Robot	www.bing.com	06시 02분 49초	Direct Contact (Typing or Bookmark)
2	4	222.122.190.25	Search Robot	help.zum.com	05시 20분 10초	Direct Contact (Typing or Bookmark)
2	3	157.55.33.126	Search Robot	www.bing.com	04시 58분 26초	Direct Contact (Typing or Bookmark)
2	2	125.209.211.208	Search Robot	help.naver.com	04시 13분 31초	Direct Contact (Typing or Bookmark)
2	1	117.111.1.151	Windows 7	Internet Explorer 7.0	03시 23분 24초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
